<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20090105;000000;1.4534000;1.5374000;1.4425000;1.5132000;117
20090112;000000;1.5147000;1.5168000;1.4465000;1.4828000;107175
20090119;000000;1.4833000;1.4908000;1.3500000;1.3801000;0
20090126;000000;1.3799000;1.4558000;1.3543000;1.4466000;0
20090202;000000;1.4468000;1.4844000;1.4049000;1.4778000;0
20090209;000000;1.4780000;1.4984000;1.4134000;1.4228000;0
20090216;000000;1.4225000;1.4483000;1.4089000;1.4379000;0
20090223;000000;1.4380000;1.4663000;1.4108000;1.4277000;0
20090302;000000;1.4281000;1.4313000;1.3955000;1.4085000;0
20090309;000000;1.4082000;1.4182000;1.3652000;1.3955000;0
20090316;000000;1.3953000;1.4596000;1.3842000;1.4468000;0
20090323;000000;1.4465000;1.4779000;1.4265000;1.4276000;0
20090330;000000;1.4279000;1.4847000;1.4108000;1.4838000;0
20090406;000000;1.4840000;1.4959000;1.4579000;1.4641000;446
20090413;000000;1.4618000;1.5068000;1.4601000;1.4804000;0
20090420;000000;1.4805000;1.4816000;1.4394000;1.4665000;87965
20090427;000000;1.4665000;1.4948000;1.4512000;1.4906000;0
20090504;000000;1.4902000;1.5248000;1.4806000;1.5219000;0
20090511;000000;1.5228000;1.5352000;1.5056000;1.5162000;28747
20090518;000000;1.5164000;1.5945000;1.5114000;1.5912000;0
20090525;000000;1.5911000;1.6198000;1.5775000;1.6185000;0
20090601;000000;1.6225000;1.6663000;1.5938000;1.5944000;0
20090608;000000;1.5944000;1.6621000;1.5798000;1.6439000;0
20090615;000000;1.6436000;1.6562000;1.6185000;1.6493000;0
20090622;000000;1.6492000;1.6603000;1.6206000;1.6523000;0
20090629;000000;1.6517000;1.6744000;1.6289000;1.6320000;0
20090706;000000;1.6322000;1.6380000;1.5980000;1.6208000;0
20090713;000000;1.6208000;1.6479000;1.6030000;1.6328000;0
20090720;000000;1.6328000;1.6585000;1.6307000;1.6471000;0
20090727;000000;1.6473000;1.6732000;1.6337000;1.6746000;0
20090803;000000;1.6744000;1.7043000;1.6647000;1.6669000;0
20090810;000000;1.6675000;1.6718000;1.6388000;1.6516000;0
20090817;000000;1.6517000;1.6623000;1.6273000;1.6489000;0
20090824;000000;1.6488000;1.6545000;1.6150000;1.6275000;0
20090831;000000;1.6274000;1.6413000;1.6110000;1.6388000;0
20090907;000000;1.6386000;1.6741000;1.6319000;1.6686000;0
20090914;000000;1.6678000;1.6695000;1.6227000;1.6253000;0
20090921;000000;1.6248000;1.6467000;1.5912000;1.5985000;53
20090928;000000;1.5983000;1.6126000;1.5766000;1.5946000;211474
20091005;000000;1.5948000;1.6119000;1.5822000;1.5844000;0
20091012;000000;1.5842000;1.6398000;1.5705000;1.6308000;0
20091019;000000;1.6311000;1.6693000;1.6237000;1.6289000;0
20091026;000000;1.6289000;1.6603000;1.6248000;1.6409000;0
20091102;000000;1.6407000;1.6636000;1.6258000;1.6656000;0
20091109;000000;1.6659000;1.6843000;1.6513000;1.6714000;0
20091116;000000;1.6712000;1.6878000;1.6458000;1.6502000;0
20091123;000000;1.6504000;1.6746000;1.6268000;1.6556000;0
20091130;000000;1.6552000;1.6722000;1.6378000;1.6427000;54999
20091207;000000;1.6429000;1.6516000;1.6163000;1.6245000;81138
20091214;000000;1.6241000;1.6411000;1.6048000;1.6114000;0
20091221;000000;1.6110000;1.6164000;1.5919000;1.5960000;0
20091228;000000;1.5959000;1.6235000;1.5830000;1.6136000;0
20100104;000000;1.6140000;1.6241000;1.5892000;1.6069000;0
20100111;000000;1.6069000;1.6355000;1.6018000;1.6256000;0
20100118;000000;1.6256000;1.6458000;1.6076000;1.6104000;0
20100125;000000;1.6105000;1.6276000;1.5975000;1.5947000;0
20100201;000000;1.5950000;1.6069000;1.5556000;1.5634000;0
20100208;000000;1.5640000;1.5765000;1.5531000;1.5670000;0
20100215;000000;1.5670000;1.5821000;1.5342000;1.5460000;0
20100222;000000;1.5463000;1.5575000;1.5149000;1.5188000;0
20100301;000000;1.5187000;1.5244000;1.4777000;1.5117000;0
20100308;000000;1.5128000;1.5217000;1.4869000;1.5168000;0
20100315;000000;1.5172000;1.5381000;1.4974000;1.5020000;0
20100322;000000;1.5020000;1.5113000;1.4797000;1.4950000;0
20100329;000000;1.4953000;1.5298000;1.4888000;1.5267000;0
20100405;000000;1.5268000;1.5391000;1.5125000;1.5414000;0
20100412;000000;1.5414000;1.5524000;1.5332000;1.5310000;0
20100419;000000;1.5309000;1.5473000;1.5189000;1.5374000;0
20100426;000000;1.5375000;1.5497000;1.5122000;1.5272000;0
20100503;000000;1.5215000;1.5282000;1.4473000;1.4870000;0
20100510;000000;1.4870000;1.5053000;1.4494000;1.4513000;0
20100517;000000;1.4520000;1.4545000;1.4228000;1.4477000;0
20100524;000000;1.4470000;1.4611000;1.4256000;1.4400000;0
20100531;000000;1.4385000;1.4770000;1.4360000;1.4413000;0
20100607;000000;1.4412000;1.4759000;1.4343000;1.4547000;0
20100614;000000;1.4551000;1.4887000;1.4535000;1.4830000;0
20100621;000000;1.4832000;1.5077000;1.4683000;1.5060000;0
20100628;000000;1.5064000;1.5228000;1.4869000;1.5197000;18
20100705;000000;1.5197000;1.5241000;1.5046000;1.5064000;107581
20100712;000000;1.5064000;1.5471000;1.4944000;1.5276000;240231
20100719;000000;1.5278000;1.5449000;1.5120000;1.5397000;0
20100726;000000;1.5397000;1.5721000;1.5387000;1.5708000;0
20100802;000000;1.5704000;1.5998000;1.5682000;1.5960000;0
20100809;000000;1.5964000;1.5996000;1.5557000;1.5615000;0
20100816;000000;1.5617000;1.5702000;1.5461000;1.5511000;0
20100823;000000;1.5514000;1.5619000;1.5368000;1.5526000;0
20100830;000000;1.5522000;1.5576000;1.5323000;1.5425000;0
20100906;000000;1.5427000;1.5533000;1.5292000;1.5372000;0
20100913;000000;1.5375000;1.5728000;1.5344000;1.5623000;0
20100920;000000;1.5624000;1.5843000;1.5499000;1.5815000;0
20100927;000000;1.5815000;1.5923000;1.5667000;1.5784000;0
20101004;000000;1.5784000;1.6018000;1.5747000;1.5939000;0
20101011;000000;1.5939000;1.6106000;1.5752000;1.5969000;0
20101018;000000;1.5969000;1.6004000;1.5647000;1.5672000;0
20101025;000000;1.5672000;1.6045000;1.5652000;1.6043000;0
20101101;000000;1.6043000;1.6299000;1.5957000;1.6184000;0
20101108;000000;1.6183000;1.6213000;1.5949000;1.6133000;0
20101115;000000;1.6124000;1.6155000;1.5837000;1.6002000;0
20101122;000000;1.6000000;1.6084000;1.5574000;1.5598000;0
20101129;000000;1.5596000;1.5787000;1.5480000;1.5763000;52958
20101206;000000;1.5760000;1.5863000;1.5651000;1.5798000;0
20101213;000000;1.5785000;1.5912000;1.5450000;1.5508000;0
20101220;000000;1.5507000;1.5577000;1.5351000;1.5442000;0
20101227;000000;1.5436000;1.5664000;1.5340000;1.5552000;0
20110103;000000;1.5552000;1.5627000;1.5402000;1.5520000;0
20110110;000000;1.5523000;1.5889000;1.5471000;1.5869000;0
20110117;000000;1.5863000;1.6059000;1.5831000;1.5987000;0
20110124;000000;1.5986000;1.6017000;1.5746000;1.5832000;0
20110131;000000;1.5832000;1.6278000;1.5818000;1.6085000;0
20110207;000000;1.6091000;1.6185000;1.5958000;1.5991000;0
20110214;000000;1.5991000;1.6263000;1.5949000;1.6250000;0
20110221;000000;1.6251000;1.6274000;1.6026000;1.6101000;0
20110228;000000;1.6098000;1.6343000;1.6068000;1.6272000;0
20110307;000000;1.6273000;1.6341000;1.5973000;1.6083000;0
20110314;000000;1.6075000;1.6255000;1.5974000;1.6230000;0
20110321;000000;1.6235000;1.6400000;1.6004000;1.6003000;0
20110328;000000;1.6005000;1.6151000;1.5932000;1.6108000;0
20110404;000000;1.6169000;1.6427000;1.6087000;1.6359000;0
20110411;000000;1.6369000;1.6426000;1.6223000;1.6299000;0
20110418;000000;1.6300000;1.6599000;1.6163000;1.6511000;0
20110425;000000;1.6510000;1.6746000;1.6427000;1.6709000;0
20110502;000000;1.6709000;1.6739000;1.6351000;1.6365000;0
20110509;000000;1.6369000;1.6517000;1.6143000;1.6206000;138295
20110516;000000;1.6215000;1.6306000;1.6101000;1.6225000;0
20110523;000000;1.6227000;1.6514000;1.6055000;1.6500000;0
20110530;000000;1.6494000;1.6547000;1.6283000;1.6404000;0
20110606;000000;1.6402000;1.6471000;1.6211000;1.6220000;0
